year;1;2;3;4;5;6;7;8;9;10;11;12;max;max_month
2000;337739;324046;347824;323357;347950;347899;356131;367893;355981;352368;342494;345916;367893;8
2001;342379;309819;345345;329884;350689;337606;358079;369383;349988;351852;331276;334663;369383;8
2002;337472;309910;337349;330289;344851;333432;363960;366409;355701;352738;325379;341823;366409;8
2003;336163;312789;342574;335691;352315;342884;370236;366421;366321;360634;326388;350644;370236;7
2004;339077;321348;352379;339079;343248;350876;365380;361835;362895;355048;342359;353339;365380;7
2005;337478;314890;355121;338060;351736;356576;363196;376467;370354;351161;342182;354720;376467;8
2006;345976;324435;362520;334587;360901;363615;373445;394199;381204;373685;357976;362611;394199;8
2007;360521;331617;365888;342981;367491;363486;384861;396355;372774;375272;359335;360203;396355;8
2008;361868;343354;355484;351344;359835;353430;380707;379046;373625;363420;328905;359719;380707;7
2009;342975;321122;352571;341822;349831;351620;373491;364795;367694;353059;325247;346764;373491;7
2010;328120;306393;343448;329137;332651;338966;349648;354727;355887;341767;330984;344247;355887;9
2011;324845;301927;334439;317225;330667;341637;349841;364194;350662;333132;326107;332232;364194;8
2012;320661;308262;328123;310118;333908;330785;351472;365501;344333;349973;329306;328426;365501;8
2013;327352;294882;323629;314847;332868;322868;352495;356879;341676;344285;322157;339399;356879;8
2014;329962;300899;326267;322329;336504;327680;357476;356066;350497;344471;318655;339726;357476;7
All;5072588;4725693;5172961;4960750;5195445;5163360;5450418;5540170;5399592;5302865;5008750;5194432;5540170;8
